Designator,Mid X,Mid Y,Rotation,Layer
C1,59.0,-34.5,90.0,top
C2,65.5,-34.5,90.0,top
C3,65.5,-48.0,270.0,top
C4,59.5,-48.0,270.0,top
C5,61.75,-56.0,0.0,top
J1,82.5,-65.05,0.0,top
R1,94.19,-62.75,0.0,top
R2,94.19,-65.0,0.0,top
R3,102.94,-54.75,0.0,top
SW1,47.75,-39.75,0.0,top
SW2,47.75,-54.25,0.0,top
SW3,117.25,-39.75,0.0,top
SW4,117.25,-54.25,0.0,top
U1,61.3625,-41.2,0.0,top
U2,102.7,-38.0,270.0,top
U3,102.5,-49.5,270.0,top
U4,82.5,-47.145,0.0,top
